date,DIS,FB,SBUX,WMT,WST
2015-04-27,103.9255,81.91,47.653,71.507,54.5119
2015-04-28,103.6991,80.68,47.4094,71.2638,54.5899
2015-04-29,103.5953,80.465,47.4469,70.1646,53.9271
2015-04-30,102.567,78.77,46.4446,70.3178,51.9291
2015-05-01,104.2651,78.99,47.1097,70.8133,52.2507
2015-05-04,104.7462,78.81,47.2549,71.3358,52.5626
2015-05-05,104.5387,77.56,46.4279,70.3898,51.7439
2015-05-06,103.5104,78.1,45.9815,70.3989,52.085
2015-05-07,103.0764,78.425,46.3762,70.7435,52.5918
2015-05-08,103.8783,78.51,46.7803,71.1968,52.6601
2015-05-11,102.4538,78.01,46.5172,70.8069,52.6113
2015-05-12,103.0575,77.46,46.7145,71.5866,52.2702
2015-05-13,103.0104,78.44,46.6017,70.8613,52.5334
2015-05-14,103.7085,81.37,47.5086,71.369,53.0889
2015-05-15,104.0575,80.42,47.7388,71.8405,52.8258
2015-05-18,104.0858,80.88,48.0959,72.457,53.4983
2015-05-19,104.3028,80.63,48.3215,69.2929,53.3423
2015-05-20,103.9632,80.55,47.955,68.8124,53.4105
2015-05-21,104.1425,80.48,48.2369,69.0028,53.2936
2015-05-22,104.0198,80.54,48.3779,68.7761,53.7322
2015-05-26,103.2462,79.335,47.7764,67.9057,52.6308
2015-05-27,104.1236,80.55,48.4812,68.1687,54.083
2015-05-28,104.2745,80.145,48.688,67.8513,53.5665
2015-05-29,104.1236,79.19,48.8289,67.3346,52.7673
2015-06-01,104.6802,80.29,49.0733,67.7516,53.3131
2015-06-02,104.4821,80.445,48.6128,67.5703,53.508
2015-06-03,104.8783,82.44,48.9793,67.8967,54.853
2015-06-04,104.0575,82.05,48.6034,67.2258,53.6347
2015-06-05,104.0575,82.14,49.0451,66.2376,54.0246
2015-06-08,103.1047,80.67,48.4248,65.8296,53.8199
2015-06-09,102.3783,80.67,48.4342,65.7027,53.8394
2015-06-10,103.7745,82.16,49.5149,66.1197,54.5509
2015-06-11,104.3594,81.83,49.327,66.1288,54.6581
2015-06-12,103.7274,81.53,49.4586,65.6664,54.8823
2015-06-15,103.9443,80.71,49.1203,65.2131,54.2682
2015-06-16,104.7745,81.06,49.7734,65.5939,55.467
2015-06-17,105.1802,81.79,50.0318,65.9384,55.4768
2015-06-18,106.8123,82.905,50.8494,66.165,56.851
2015-06-19,106.2462,82.51,50.6802,65.9474,57.0362
2015-06-22,107.1047,84.74,50.652,65.9928,57.7282
2015-06-23,107.9349,87.88,50.8541,65.7933,57.7185
2015-06-24,107.3312,88.86,50.4735,65.6211,56.8608
2015-06-25,107.9727,87.98,50.8118,65.1496,57.3968
2015-06-26,108.4821,88.01,51.3286,65.3853,57.1434
2015-06-29,106.6519,85.8,50.3231,64.7507,56.4222
2015-06-30,107.6802,85.765,50.3842,64.3065,56.6074
2015-07-01,109.2459,86.91,50.6426,65.1678,56.8413
2015-07-02,109.094,87.285,50.9715,65.1496,56.0908
2015-07-06,109.7867,87.55,51.0326,65.7571,56.315
2015-07-07,111.1152,87.22,51.0984,66.8994,59.1122
2015-07-08,109.3028,85.65,50.1728,66.2376,58.7808
2015-07-09,109.6918,85.88,50.793,65.9837,58.2448
2015-07-10,110.4889,87.95,51.2817,66.292,58.4007
2015-07-13,112.0166,90.1,52.3436,66.981,58.8491
2015-07-14,111.8268,89.68,52.3905,66.8994,59.2779
2015-07-15,112.2538,89.76,52.0053,66.7725,59.0537
2015-07-16,112.9845,90.85,52.3812,66.9357,59.658
2015-07-17,112.7852,94.97,52.3342,66.5367,59.4923
2015-07-20,113.4684,97.91,52.8228,66.2738,59.9122
2015-07-21,113.2122,98.39,52.8134,65.9474,59.7559
2015-07-22,113.2312,97.04,53.2739,66.3282,60.0489
2015-07-23,112.7283,95.44,53.1517,65.7389,59.3849
2015-07-24,112.8327,96.95,53.8377,64.8958,58.389
